IMC TEMPLATE - USER SPECIFIED AREA (X:0-14mm, Y:300-325mm)
====================================================================================================
Anchor: R16$CBB17/CBB1 at X=3.683mm, Y=310.769mm
Search Area: X 0-14mm, Y 300-325mm
====================================================================================================

Template components (sorted by Y, X):
Designator                          Rel_X (mm)     Rel_Y (mm)     Angle    X (mm)       Y (mm)      
----------------------------------------------------------------------------------------------------
R16$CBB17/CBB1                              0.000         0.000     180°       3.683     310.769
R1$CBB17/CBB1                               0.000         1.143     180°       3.683     311.912
R15$CBB17/CBB1                             -2.794         1.905      90°       0.889     312.674
R3$CBB17/CBB1                               0.000         2.413     180°       3.683     313.182
R14$CBB17/CBB1                             -1.651         3.048      90°       2.032     313.817
R4$CBB17/CBB1                               0.000         3.683     180°       3.683     314.452
R13$CBB17/CBB1                             -2.794         4.318      90°       0.889     315.087
U6$CBB17/CBB1                               5.153         4.363     270°       8.836     315.132
R5$CBB17/CBB1                               0.000         4.953     180°       3.683     315.722
R12$CBB17/CBB1                             -1.651         5.588      90°       2.032     316.357
R6$CBB17/CBB1                               0.000         6.223     180°       3.683     316.992
R11$CBB17/CBB1                             -2.794         6.858      90°       0.889     317.627
R7$CBB17/CBB1                               0.000         7.493     180°       3.683     318.262
R10$CBB17/CBB1                             -1.651         8.001      90°       2.032     318.770
R8$CBB17/CBB1                               0.000         8.763     180°       3.683     319.532
R2$CBB17/CBB1                              -2.794         8.890      90°       0.889     319.659
R9$CBB17/CBB1                               0.000         9.906     180°       3.683     320.675
C193$CBB17/CBB1                             7.874         9.906       0°      11.557     320.675
