TEMPLATE BLOCKS WITH ROTATION ANGLES
================================================================================

MATRIX matrix3 [1,1] Block (anchor: 991.00, 5547.00 mil)
================================================================================
Designator           Rel_X      Rel_Y      Angle     
$1I2_$2I3            -41.0      -32.0      180       
$1I2_$2I4            -101.0     -47.0      90        
$1I2_$2I16           39.0       -32.0      0         
$1I2_$2I17           99.0       -47.0      90        
$1I2_$2I2            64.0       33.0       180       
$1I2_$2I9            -61.0      33.0       0         
$1I2_$2I14           64.0       118.0      180       
$1I2_$2I15           -61.0      118.0      0         
$1I2_$2I22           -41.0      -72.0      180       
$1I2_$2I26           39.0       -72.0      0         
$1I8_$2I9            447.7      33.0       0         
$1I8_$2I15           447.7      118.0      0         
$1I8_$2I22           467.7      -72.0      180       
$1I8_$2I4            407.7      -47.0      90        
$1I8_$2I3            467.7      -32.0      180       
$1I8_$2I17           607.7      -47.0      90        
$1I8_$2I2            572.7      33.0       180       
$1I8_$2I14           572.7      118.0      180       
$1I8_$2I26           547.7      -72.0      0         
$1I8_$2I16           547.7      -32.0      0         

MATRIX matrix8 [1,1] Block (anchor: 989.50, 5292.00 mil)
================================================================================
Designator           Rel_X      Rel_Y      Angle     
$1I2_$2I3            -39.5      -32.0      180       
$1I2_$2I4            -99.5      -47.0      90        
$1I2_$2I16           35.5       -32.0      0         
$1I2_$2I17           95.5       -47.0      90        
$1I2_$2I2            65.5       33.0       180       
$1I2_$2I9            -59.5      33.0       0         
$1I2_$2I14           65.5       118.0      180       
$1I2_$2I15           -59.5      118.0      0         
$1I2_$2I22           -39.5      -72.0      180       
$1I2_$2I26           35.5       -72.0      0         
$1I8_$2I3            469.2      -32.0      180       
$1I8_$2I4            409.2      -47.0      90        
$1I8_$2I9            449.2      33.0       0         
$1I8_$2I15           449.2      118.0      0         
$1I8_$2I26           544.2      -72.0      0         
$1I8_$2I17           604.2      -47.0      90        
$1I8_$2I16           544.2      -32.0      0         
$1I8_$2I2            574.2      33.0       180       
$1I8_$2I14           574.2      118.0      180       
$1I8_$2I22           469.2      -72.0      180       

MATRIX matrix33 [1,1] Block (anchor: 1242.50, 5558.75 mil)
================================================================================
Designator           Rel_X      Rel_Y      Angle     
$1I263_$2I3          -42.5      -43.8      180       
$1I263_$2I16         32.5       -43.8      0         
$1I263_$2I2          67.5       21.2       180       
$1I263_$2I9          -57.5      21.2       0         
$1I263_$2I14         67.5       106.2      180       
$1I263_$2I15         -57.5      106.2      0         
$1I263_$2I22         -42.5      -83.8      180       
$1I263_$2I26         32.5       -83.8      0         

