T20F256 FPGA CONNECTION REPORT
===============================

Columns: package pin | Excel GPIO (before) | Efinix GPIO (after) | net | mode | serial resistor | serial partner net

  A1 | -                      | -                 | GND                      | unknown | -              | -
 A10 | GPIOR_79_EXTFB1_CDI30  | GPIOR_79          | H_M3_P8                  | output  | R62            | H8+M(3)
 A11 | GPIOR_84               | GPIOR_84          | H_M3_P4                  | output  | R21            | H4+M(3)
 A12 | -                      | -                 | GND                      | unknown | -              | -
 A13 | GPIOR_95_CDI26         | GPIOR_95          | H_M3_N5                  | output  | R30            | H5-M(3)
 A14 | GPIOR_90               | GPIOR_90          | H_M8_N5                  | output  | R110           | H5-M(8)
 A15 | GPIOR_94_CDI27         | GPIOR_94          | H_M3_N7                  | output  | R42            | H7-M(3)
 A16 | -                      | -                 | GND                      | unknown | -              | -
  A2 | GPIOL_50               | GPIOL_50          | G_5_MAT_33               | unknown | -              | -
  A3 | GPIOL_57               | GPIOL_57          | H_M3_P3                  | output  | R15            | H3+M(3)
  A4 | GPIOL_59               | GPIOL_59          | H_M8_P7                  | output  | R119           | H7+M(8)
  A5 | -                      | -                 | GND                      | unknown | -              | -
  A6 | GPIOL_65               | GPIOL_65          | H_M8_N2                  | output  | R91            | H2-M(8)
  A7 | GPIOL_62               | GPIOL_62          | H_M3_N2                  | output  | R12            | H2-M(3)
  A8 | GPIOL_66_CDI12         | GPIOL_66          | UNNAMED                  | unknown | -              | -
  A9 | GPIOR_78_EXTFB0_CDI31  | GPIOR_78          | H_M8_P3                  | output  | R94            | H3+M(8)
  B1 | GPIOL_44               | GPIOL_44          | G_6_MAT_8                | unknown | -              | -
 B10 | GPIOR_82               | GPIOR_82          | H_M3_N4                  | output  | R24            | H4-M(3)
 B11 | GPIOR_83               | GPIOR_83          | H_M8_N4                  | output  | R104           | H4-M(8)
 B12 | GPIOR_93               | GPIOR_93          | H_M8_P4                  | output  | R101           | H4+M(8)
 B13 | GPIOR_97               | GPIOR_97          | H_M3_P5                  | output  | R27            | H5+M(3)
 B14 | GPIOR_92               | GPIOR_92          | H_M8_P5                  | output  | R107           | H5+M(8)
 B15 | GPIOR_98               | GPIOR_98          | H_M3_P7                  | output  | R39            | H7+M(3)
 B16 | GPIOR_106              | GPIOR_106         | H_M3_N6                  | output  | R36            | H6-M(3)
  B2 | GPIOL_45               | GPIOL_45          | G_5_MAT_33               | unknown | -              | -
  B3 | GPIOL_52               | GPIOL_52          | H_M3_N3                  | output  | R18            | H3-M(3)
  B4 | GPIOL_53_CDI10         | GPIOL_53          | H_M8_N7                  | output  | R122           | H7-M(8)
  B5 | GPIOL_61               | GPIOL_61          | H_M8_P2                  | output  | R88            | H2+M(8)
  B6 | GPIOL_64               | GPIOL_64          | H_M3_P2                  | output  | R9             | H2+M(3)
  B7 | GPIOL_63               | GPIOL_63          | H_M8_N3                  | output  | R98            | H3-M(8)
  B8 | GPIOL_71_NSTATUS       | GPIOL_71          | NSTATUS                  | unknown | -              | -
  B9 | GPIOR_80               | GPIOR_80          | H_M3_N8                  | output  | R79            | H8-M(3)
  C1 | GPIOL_33_CTRL5         | GPIOL_33          | G_6_MAT_3                | unknown | -              | -
 C10 | GPIOR_81_MREFCLK       | GPIOR_81          | G_2_MAT_33               | unknown | -              | -
 C11 | GPIOR_86               | GPIOR_86          | G_2_MAT_8                | unknown | -              | -
 C12 | GPIOR_85               | GPIOR_85          | G_2_MAT_3                | unknown | -              | -
 C13 | GPIOR_99               | GPIOR_99          | G_1_MAT_33               | unknown | -              | -
 C14 | GPIOR_102              | GPIOR_102         | G_1_MAT_8                | unknown | -              | -
 C15 | GPIOR_112_CDI23        | GPIOR_112         | H_M3_P6                  | output  | R33            | H6+M(3)
 C16 | GPIOR_108              | GPIOR_108         | H_M8_N6                  | output  | R116           | H6-M(8)
  C2 | GPIOL_41_CDI9          | GPIOL_41          | G_6_MAT_3                | unknown | -              | -
  C3 | GPIOL_48               | GPIOL_48          | G_5_MAT_8                | unknown | -              | -
  C4 | GPIOL_51               | GPIOL_51          | G_4_MAT_33               | unknown | -              | -
  C5 | GPIOL_67_CDI13         | GPIOL_67          | UNNAMED                  | unknown | -              | -
  C6 | GPIOL_58               | GPIOL_58          | G_3_MAT_33               | unknown | -              | -
  C7 | GPIOL_70_CBSEL0        | GPIOL_70          | CBSEL0                   | unknown | -              | -
  C8 | GPIOL_72_EXTFB0_CDI14  | GPIOL_72          | UNNAMED                  | unknown | -              | -
  C9 | GPIOR_76_PLLIN0        | GPIOR_76          | 1N328                    | unknown | -              | -
  D1 | GPIOL_36               | GPIOL_36          | G_6_MAT_8                | unknown | -              | -
 D10 | GPIOR_77_PLLIN1        | GPIOR_77          | UNNAMED                  | unknown | -              | -
 D11 | GPIOR_87_CDI29         | GPIOR_87          | G_2_MAT_33               | unknown | -              | -
 D12 | GPIOR_89               | GPIOR_89          | G_2_MAT_8                | unknown | -              | -
 D13 | GPIOR_103              | GPIOR_103         | G_1_MAT_3                | unknown | -              | -
 D14 | GPIOR_104_CDI25        | GPIOR_104         | G_1_MAT_3                | unknown | -              | -
 D15 | -                      | -                 | GND                      | unknown | -              | -
 D16 | GPIOR_116_CTRL15       | GPIOR_116         | H_M8_P6                  | output  | R113           | H6+M(8)
  D2 | -                      | -                 | GND                      | unknown | -              | -
  D3 | GPIOL_46               | GPIOL_46          | G_4_MAT_33               | unknown | -              | -
  D4 | GPIOL_47               | GPIOL_47          | G_4_MAT_8                | unknown | -              | -
  D5 | GPIOL_49               | GPIOL_49          | G_4_MAT_3                | unknown | -              | -
  D6 | GPIOL_54_CDI11         | GPIOL_54          | G_3_MAT_33               | unknown | -              | -
  D7 | GPIOL_69_CBSEL1        | GPIOL_69          | CBSEL1                   | unknown | -              | -
  D8 | GPIOL_73_EXTFB1_CDI15  | GPIOL_73          | UNNAMED                  | unknown | -              | -
  D9 | GPIOL_74_PLLIN0        | GPIOL_74          | UNNAMED                  | unknown | -              | -
  E1 | GPIOL_37               | GPIOL_37          | G_6_MAT_33               | unknown | -              | -
 E10 | -                      | -                 | T20_LED5                 | output  | R253$CBB22     | $4I2\T120_NSTATUS
 E11 | GPIOR_88_CDI28         | GPIOR_88          | G_3_MAT_8                | unknown | -              | -
